Segment;Region; Product ; Discount Band ;  Units Sold  ; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ;   Sales  ;  COGS  ;  Profit  ;Date;Month Number; Month Name ;Year
Government;Yogyakarta; Cloud Computing ; Low ;  $1,642.00  ; $250.00 ; $350.00 ; $574,700.00 ; $17,241.00 ;  $557,459.00  ;  $426,920.00  ;  $130,539.00  ;08/01/2019;8; August ;2019
Midmarket;West Java; Cloud Computing ; Low ;  $1,945.00  ; $250.00 ; $15.00 ; $29,175.00 ; $875.25 ;  $28,299.75  ;  $19,450.00  ;  $8,849.75  ;10/01/2013;10; October ;2013
Government;Banten; Training ; Low ;  $831.00  ; $3.00 ; $20.00 ; $16,620.00 ; $498.60 ;  $16,121.40  ;  $8,310.00  ;  $7,811.40  ;05/01/2019;5; May ;2019
Government;Yogyakarta; Loan ; Low ;  $1,760.00  ; $10.00 ; $7.00 ; $12,320.00 ; $369.60 ;  $11,950.40  ;  $8,800.00  ;  $3,150.40  ;09/01/2013;9; September ;2013
Government;Banten; Fashion ; Low ;  $3,850.50  ; $120.00 ; $20.00 ; $77,010.00 ; $2,310.30 ;  $74,699.70  ;  $38,505.00  ;  $36,194.70  ;04/01/2019;4; April ;2019
Channel Partners;West Java; Cloud Computing ; Low ;  $2,479.00  ; $250.00 ; $12.00 ; $29,748.00 ; $892.44 ;  $28,855.56  ;  $7,437.00  ;  $21,418.56  ;01/01/2019;1; January ;2019
Midmarket;Yogyakarta; Education ; Low ;  $2,031.00  ; $5.00 ; $15.00 ; $30,465.00 ; $1,218.60 ;  $29,246.40  ;  $20,310.00  ;  $8,936.40  ;10/01/2019;10; October ;2019
Midmarket;Yogyakarta; Loan ; Low ;  $2,031.00  ; $10.00 ; $15.00 ; $30,465.00 ; $1,218.60 ;  $29,246.40  ;  $20,310.00  ;  $8,936.40  ;10/01/2019;10; October ;2019
Midmarket;Jakarta; Loan ; Low ;  $2,261.00  ; $10.00 ; $15.00 ; $33,915.00 ; $1,356.60 ;  $32,558.40  ;  $22,610.00  ;  $9,948.40  ;12/01/2013;12; December ;2013
Government;East Java; Fashion ; Low ;  $736.00  ; $120.00 ; $20.00 ; $14,720.00 ; $588.80 ;  $14,131.20  ;  $7,360.00  ;  $6,771.20  ;09/01/2013;9; September ;2013
Government;Banten; Training ; Low ;  $2,851.00  ; $3.00 ; $7.00 ; $19,957.00 ; $798.28 ;  $19,158.72  ;  $14,255.00  ;  $4,903.72  ;10/01/2013;10; October ;2013
Small Business;West Java; Training ; Low ;  $2,021.00  ; $3.00 ; $300.00 ; $606,300.00 ; $24,252.00 ;  $582,048.00  ;  $505,250.00  ;  $76,798.00  ;10/01/2019;10; October ;2019
Government;East Java; Training ; Low ;  $274.00  ; $3.00 ; $350.00 ; $95,900.00 ; $3,836.00 ;  $92,064.00  ;  $71,240.00  ;  $20,824.00  ;12/01/2019;12; December ;2019
Midmarket;Banten; Education ; Low ;  $1,967.00  ; $5.00 ; $15.00 ; $29,505.00 ; $1,180.20 ;  $28,324.80  ;  $19,670.00  ;  $8,654.80  ;03/01/2019;3; March ;2019
Small Business;West Java; Education ; Low ;  $1,859.00  ; $5.00 ; $300.00 ; $557,700.00 ; $22,308.00 ;  $535,392.00  ;  $464,750.00  ;  $70,642.00  ;08/01/2019;8; August ;2019
Government;Banten; Education ; Low ;  $2,851.00  ; $5.00 ; $7.00 ; $19,957.00 ; $798.28 ;  $19,158.72  ;  $14,255.00  ;  $4,903.72  ;10/01/2013;10; October ;2013
Small Business;West Java; Education ; Low ;  $2,021.00  ; $5.00 ; $300.00 ; $606,300.00 ; $24,252.00 ;  $582,048.00  ;  $505,250.00  ;  $76,798.00  ;10/01/2019;10; October ;2019
Government;Banten; Loan ; Low ;  $4,251.00  ; $10.00 ; $7.00 ; $29,757.00 ; $1,190.28 ;  $28,566.72  ;  $21,255.00  ;  $7,311.72  ;01/01/2019;1; January ;2019
Small Business;West Java; Loan ; Low ;  $1,414.50  ; $10.00 ; $300.00 ; $424,350.00 ; $16,974.00 ;  $407,376.00  ;  $353,625.00  ;  $53,751.00  ;04/01/2019;4; April ;2019
Small Business;East Java; Loan ; Low ;  $2,918.00  ; $10.00 ; $300.00 ; $875,400.00 ; $35,016.00 ;  $840,384.00  ;  $729,500.00  ;  $110,884.00  ;05/01/2019;5; May ;2019
Government;East Java; Loan ; Low ;  $3,450.00  ; $10.00 ; $350.00 ; $1,207,500.00 ; $48,300.00 ;  $1,159,200.00  ;  $897,000.00  ;  $262,200.00  ;07/01/2019;7; July ;2019
Midmarket;Banten; Loan ; Low ;  $218.00  ; $10.00 ; $15.00 ; $3,270.00 ; $130.80 ;  $3,139.20  ;  $2,180.00  ;  $959.20  ;09/01/2019;9; September ;2019
Government;Banten; Loan ; Low ;  $2,074.00  ; $10.00 ; $20.00 ; $41,480.00 ; $1,659.20 ;  $39,820.80  ;  $20,740.00  ;  $19,080.80  ;09/01/2019;9; September ;2019
Government;East Java; Loan ; Low ;  $1,056.00  ; $10.00 ; $20.00 ; $21,120.00 ; $844.80 ;  $20,275.20  ;  $10,560.00  ;  $9,715.20  ;09/01/2019;9; September ;2019
Midmarket;East Java; Loan ; Low ;  $671.00  ; $10.00 ; $15.00 ; $10,065.00 ; $402.60 ;  $9,662.40  ;  $6,710.00  ;  $2,952.40  ;10/01/2013;10; October ;2013
Midmarket;Yogyakarta; Loan ; Low ;  $1,514.00  ; $10.00 ; $15.00 ; $22,710.00 ; $908.40 ;  $21,801.60  ;  $15,140.00  ;  $6,661.60  ;10/01/2013;10; October ;2013
Government;East Java; Loan ; Low ;  $274.00  ; $10.00 ; $350.00 ; $95,900.00 ; $3,836.00 ;  $92,064.00  ;  $71,240.00  ;  $20,824.00  ;12/01/2019;12; December ;2019
Channel Partners;East Java; Fashion ; Low ;  $1,465.00  ; $120.00 ; $12.00 ; $17,580.00 ; $703.20 ;  $16,876.80  ;  $4,395.00  ;  $12,481.80  ;03/01/2019;3; March ;2019
Government;Banten; Fashion ; Low ;  $2,646.00  ; $120.00 ; $20.00 ; $52,920.00 ; $2,116.80 ;  $50,803.20  ;  $26,460.00  ;  $24,343.20  ;09/01/2013;9; September ;2013
Government;Jakarta; Fashion ; Low ;  $2,177.00  ; $120.00 ; $350.00 ; $761,950.00 ; $30,478.00 ;  $731,472.00  ;  $566,020.00  ;  $165,452.00  ;10/01/2019;10; October ;2019
Channel Partners;Jakarta; Cloud Computing ; Low ;  $866.00  ; $250.00 ; $12.00 ; $10,392.00 ; $415.68 ;  $9,976.32  ;  $2,598.00  ;  $7,378.32  ;05/01/2019;5; May ;2019
Government;East Java; Cloud Computing ; Low ;  $349.00  ; $250.00 ; $350.00 ; $122,150.00 ; $4,886.00 ;  $117,264.00  ;  $90,740.00  ;  $26,524.00  ;09/01/2013;9; September ;2013
Government;Jakarta; Cloud Computing ; Low ;  $2,177.00  ; $250.00 ; $350.00 ; $761,950.00 ; $30,478.00 ;  $731,472.00  ;  $566,020.00  ;  $165,452.00  ;10/01/2019;10; October ;2019
Midmarket;Yogyakarta; Cloud Computing ; Low ;  $1,514.00  ; $250.00 ; $15.00 ; $22,710.00 ; $908.40 ;  $21,801.60  ;  $15,140.00  ;  $6,661.60  ;10/01/2013;10; October ;2013
Government;Yogyakarta; Project Management  ; Low ;  $1,865.00  ; $260.00 ; $350.00 ; $652,750.00 ; $26,110.00 ;  $626,640.00  ;  $484,900.00  ;  $141,740.00  ;02/01/2019;2; February ;2019
Government;West Java; Project Management  ; Low ;  $1,907.00  ; $260.00 ; $350.00 ; $667,450.00 ; $26,698.00 ;  $640,752.00  ;  $495,820.00  ;  $144,932.00  ;09/01/2019;9; September ;2019
Midmarket;East Java; Project Management  ; Low ;  $671.00  ; $260.00 ; $15.00 ; $10,065.00 ; $402.60 ;  $9,662.40  ;  $6,710.00  ;  $2,952.40  ;10/01/2013;10; October ;2013
Government;Banten; Project Management  ; Low ;  $1,778.00  ; $260.00 ; $350.00 ; $622,300.00 ; $24,892.00 ;  $597,408.00  ;  $462,280.00  ;  $135,128.00  ;12/01/2013;12; December ;2013
Government;West Java; Education ; Medium ;  $1,159.00  ; $5.00 ; $7.00 ; $8,113.00 ; $405.65 ;  $7,707.35  ;  $5,795.00  ;  $1,912.35  ;10/01/2013;10; October ;2013
Government;West Java; Loan ; Medium ;  $1,372.00  ; $10.00 ; $7.00 ; $9,604.00 ; $480.20 ;  $9,123.80  ;  $6,860.00  ;  $2,263.80  ;01/01/2019;1; January ;2019
Government;Banten; Loan ; Medium ;  $2,349.00  ; $10.00 ; $7.00 ; $16,443.00 ; $822.15 ;  $15,620.85  ;  $11,745.00  ;  $3,875.85  ;09/01/2013;9; September ;2013
Government;Yogyakarta; Loan ; Medium ;  $2,689.00  ; $10.00 ; $7.00 ; $18,823.00 ; $941.15 ;  $17,881.85  ;  $13,445.00  ;  $4,436.85  ;10/01/2019;10; October ;2019
Channel Partners;Banten; Loan ; Medium ;  $2,431.00  ; $10.00 ; $12.00 ; $29,172.00 ; $1,458.60 ;  $27,713.40  ;  $7,293.00  ;  $20,420.40  ;12/01/2019;12; December ;2019
Channel Partners;Banten; Fashion ; Medium ;  $2,431.00  ; $120.00 ; $12.00 ; $29,172.00 ; $1,458.60 ;  $27,713.40  ;  $7,293.00  ;  $20,420.40  ;12/01/2019;12; December ;2019
Government;Yogyakarta; Cloud Computing ; Medium ;  $2,689.00  ; $250.00 ; $7.00 ; $18,823.00 ; $941.15 ;  $17,881.85  ;  $13,445.00  ;  $4,436.85  ;10/01/2019;10; October ;2019
Government;Yogyakarta; Project Management  ; Medium ;  $1,683.00  ; $260.00 ; $7.00 ; $11,781.00 ; $589.05 ;  $11,191.95  ;  $8,415.00  ;  $2,776.95  ;07/01/2019;7; July ;2019
Channel Partners;Yogyakarta; Project Management  ; Medium ;  $1,123.00  ; $260.00 ; $12.00 ; $13,476.00 ; $673.80 ;  $12,802.20  ;  $3,369.00  ;  $9,433.20  ;08/01/2019;8; August ;2019
Government;West Java; Project Management  ; Medium ;  $1,159.00  ; $260.00 ; $7.00 ; $8,113.00 ; $405.65 ;  $7,707.35  ;  $5,795.00  ;  $1,912.35  ;10/01/2013;10; October ;2013
Channel Partners;Jakarta; Training ; Medium ;  $1,865.00  ; $3.00 ; $12.00 ; $22,380.00 ; $1,119.00 ;  $21,261.00  ;  $5,595.00  ;  $15,666.00  ;02/01/2019;2; February ;2019
Channel Partners;West Java; Training ; Medium ;  $1,116.00  ; $3.00 ; $12.00 ; $13,392.00 ; $669.60 ;  $12,722.40  ;  $3,348.00  ;  $9,374.40  ;02/01/2019;2; February ;2019
Government;Jakarta; Training ; Medium ;  $1,563.00  ; $3.00 ; $20.00 ; $31,260.00 ; $1,563.00 ;  $29,697.00  ;  $15,630.00  ;  $14,067.00  ;05/01/2019;5; May ;2019
Small Business;East Java; Training ; Medium ;  $991.00  ; $3.00 ; $300.00 ; $297,300.00 ; $14,865.00 ;  $282,435.00  ;  $247,750.00  ;  $34,685.00  ;06/01/2019;6; June ;2019
Government;West Java; Training ; Medium ;  $1,016.00  ; $3.00 ; $7.00 ; $7,112.00 ; $355.60 ;  $6,756.40  ;  $5,080.00  ;  $1,676.40  ;11/01/2013;11; November ;2013
Midmarket;Yogyakarta; Training ; Medium ;  $2,791.00  ; $3.00 ; $15.00 ; $41,865.00 ; $2,093.25 ;  $39,771.75  ;  $27,910.00  ;  $11,861.75  ;11/01/2019;11; November ;2019
Government;East Java; Training ; Medium ;  $570.00  ; $3.00 ; $7.00 ; $3,990.00 ; $199.50 ;  $3,790.50  ;  $2,850.00  ;  $940.50  ;12/01/2019;12; December ;2019
Government;Jakarta; Training ; Medium ;  $2,487.00  ; $3.00 ; $7.00 ; $17,409.00 ; $870.45 ;  $16,538.55  ;  $12,435.00  ;  $4,103.55  ;12/01/2019;12; December ;2019
Government;Jakarta; Education ; Medium ;  $1,384.50  ; $5.00 ; $350.00 ; $484,575.00 ; $24,228.75 ;  $460,346.25  ;  $359,970.00  ;  $100,376.25  ;01/01/2019;1; January ;2019
Government;Yogyakarta; Education ; Medium ;  $720.00  ; $5.00 ; $350.00 ; $252,000.00 ; $12,600.00 ;  $239,400.00  ;  $187,200.00  ;  $52,200.00  ;09/01/2013;9; September ;2013
Channel Partners;West Java; Education ; Medium ;  $2,342.00  ; $5.00 ; $12.00 ; $28,104.00 ; $1,405.20 ;  $26,698.80  ;  $7,026.00  ;  $19,672.80  ;11/01/2019;11; November ;2019
Small Business;Yogyakarta; Education ; Medium ;  $1,100.00  ; $5.00 ; $300.00 ; $330,000.00 ; $16,500.00 ;  $313,500.00  ;  $275,000.00  ;  $38,500.00  ;12/01/2013;12; December ;2013
Government;Jakarta; Loan ; Medium ;  $1,303.00  ; $10.00 ; $20.00 ; $26,060.00 ; $1,303.00 ;  $24,757.00  ;  $13,030.00  ;  $11,727.00  ;02/01/2019;2; February ;2019
Small Business;Yogyakarta; Loan ; Medium ;  $1,607.00  ; $10.00 ; $300.00 ; $482,100.00 ; $24,105.00 ;  $457,995.00  ;  $401,750.00  ;  $56,245.00  ;04/01/2019;4; April ;2019
Government;East Java; Loan ; Medium ;  $2,327.00  ; $10.00 ; $7.00 ; $16,289.00 ; $814.45 ;  $15,474.55  ;  $11,635.00  ;  $3,839.55  ;05/01/2019;5; May ;2019
Small Business;East Java; Loan ; Medium ;  $991.00  ; $10.00 ; $300.00 ; $297,300.00 ; $14,865.00 ;  $282,435.00  ;  $247,750.00  ;  $34,685.00  ;06/01/2019;6; June ;2019
Government;East Java; Loan ; Medium ;  $602.00  ; $10.00 ; $350.00 ; $210,700.00 ; $10,535.00 ;  $200,165.00  ;  $156,520.00  ;  $43,645.00  ;06/01/2019;6; June ;2019
Midmarket;Jakarta; Loan ; Medium ;  $2,620.00  ; $10.00 ; $15.00 ; $39,300.00 ; $1,965.00 ;  $37,335.00  ;  $26,200.00  ;  $11,135.00  ;09/01/2019;9; September ;2019
Government;Banten; Loan ; Medium ;  $1,228.00  ; $10.00 ; $350.00 ; $429,800.00 ; $21,490.00 ;  $408,310.00  ;  $319,280.00  ;  $89,030.00  ;10/01/2013;10; October ;2013
Government;Banten; Loan ; Medium ;  $1,389.00  ; $10.00 ; $20.00 ; $27,780.00 ; $1,389.00 ;  $26,391.00  ;  $13,890.00  ;  $12,501.00  ;10/01/2013;10; October ;2013
Government;Banten; Loan ; Medium ;  $1,802.00  ; $10.00 ; $20.00 ; $36,040.00 ; $1,802.00 ;  $34,238.00  ;  $18,020.00  ;  $16,218.00  ;12/01/2013;12; December ;2013
Government;East Java; Loan ; Medium ;  $2,663.00  ; $10.00 ; $20.00 ; $53,260.00 ; $2,663.00 ;  $50,597.00  ;  $26,630.00  ;  $23,967.00  ;12/01/2018;12; December ;2018
Government;Jakarta; Loan ; Medium ;  $2,136.00  ; $10.00 ; $7.00 ; $14,952.00 ; $747.60 ;  $14,204.40  ;  $10,680.00  ;  $3,524.40  ;12/01/2013;12; December ;2013
Midmarket;West Java; Loan ; Medium ;  $2,116.00  ; $10.00 ; $15.00 ; $31,740.00 ; $1,587.00 ;  $30,153.00  ;  $21,160.00  ;  $8,993.00  ;12/01/2013;12; December ;2013
Midmarket;East Java; Fashion ; Medium ;  $555.00  ; $120.00 ; $15.00 ; $8,325.00 ; $416.25 ;  $7,908.75  ;  $5,550.00  ;  $2,358.75  ;01/01/2018;1; January ;2018
Midmarket;Yogyakarta; Fashion ; Medium ;  $2,861.00  ; $120.00 ; $15.00 ; $42,915.00 ; $2,145.75 ;  $40,769.25  ;  $28,610.00  ;  $12,159.25  ;01/01/2018;1; January ;2018
Government;East Java; Fashion ; Medium ;  $602.00  ; $120.00 ; $350.00 ; $210,700.00 ; $10,535.00 ;  $200,165.00  ;  $156,520.00  ;  $43,645.00  ;06/01/2018;6; June ;2018
Government;East Java; Fashion ; Medium ;  $2,832.00  ; $120.00 ; $20.00 ; $56,640.00 ; $2,832.00 ;  $53,808.00  ;  $28,320.00  ;  $25,488.00  ;08/01/2018;8; August ;2018
Government;Jakarta; Fashion ; Medium ;  $1,579.00  ; $120.00 ; $20.00 ; $31,580.00 ; $1,579.00 ;  $30,001.00  ;  $15,790.00  ;  $14,211.00  ;08/01/2018;8; August ;2018
Government;Jakarta; Fashion ; Medium ;  $1,033.00  ; $120.00 ; $20.00 ; $20,660.00 ; $1,033.00 ;  $19,627.00  ;  $10,330.00  ;  $9,297.00  ;12/01/2013;12; December ;2013
Small Business;West Java; Fashion ; Medium ;  $1,250.00  ; $120.00 ; $300.00 ; $375,000.00 ; $18,750.00 ;  $356,250.00  ;  $312,500.00  ;  $43,750.00  ;12/01/2018;12; December ;2018
Government;Banten; Cloud Computing ; Medium ;  $1,389.00  ; $250.00 ; $20.00 ; $27,780.00 ; $1,389.00 ;  $26,391.00  ;  $13,890.00  ;  $12,501.00  ;10/01/2013;10; October ;2013
Government;East Java; Cloud Computing ; Medium ;  $1,265.00  ; $250.00 ; $20.00 ; $25,300.00 ; $1,265.00 ;  $24,035.00  ;  $12,650.00  ;  $11,385.00  ;11/01/2013;11; November ;2013
Government;West Java; Cloud Computing ; Medium ;  $2,297.00  ; $250.00 ; $20.00 ; $45,940.00 ; $2,297.00 ;  $43,643.00  ;  $22,970.00  ;  $20,673.00  ;11/01/2013;11; November ;2013
Government;East Java; Cloud Computing ; Medium ;  $2,663.00  ; $250.00 ; $20.00 ; $53,260.00 ; $2,663.00 ;  $50,597.00  ;  $26,630.00  ;  $23,967.00  ;12/01/2018;12; December ;2018
Government;East Java; Cloud Computing ; Medium ;  $570.00  ; $250.00 ; $7.00 ; $3,990.00 ; $199.50 ;  $3,790.50  ;  $2,850.00  ;  $940.50  ;12/01/2018;12; December ;2018
Government;Jakarta; Cloud Computing ; Medium ;  $2,487.00  ; $250.00 ; $7.00 ; $17,409.00 ; $870.45 ;  $16,538.55  ;  $12,435.00  ;  $4,103.55  ;12/01/2018;12; December ;2018
Government;West Java; Project Management  ; Medium ;  $1,350.00  ; $260.00 ; $350.00 ; $472,500.00 ; $23,625.00 ;  $448,875.00  ;  $351,000.00  ;  $97,875.00  ;02/01/2018;2; February ;2018
Government;Banten; Project Management  ; Medium ;  $552.00  ; $260.00 ; $350.00 ; $193,200.00 ; $9,660.00 ;  $183,540.00  ;  $143,520.00  ;  $40,020.00  ;08/01/2018;8; August ;2018
Government;Banten; Project Management  ; Medium ;  $1,228.00  ; $260.00 ; $350.00 ; $429,800.00 ; $21,490.00 ;  $408,310.00  ;  $319,280.00  ;  $89,030.00  ;10/01/2013;10; October ;2013
Small Business;West Java; Project Management  ; Medium ;  $1,250.00  ; $260.00 ; $300.00 ; $375,000.00 ; $18,750.00 ;  $356,250.00  ;  $312,500.00  ;  $43,750.00  ;12/01/2018;12; December ;2018
Midmarket;Jakarta; Loan ; Medium ;  $3,801.00  ; $10.00 ; $15.00 ; $57,015.00 ; $3,420.90 ;  $53,594.10  ;  $38,010.00  ;  $15,584.10  ;04/01/2018;4; April ;2018
Government;East Java; Training ; Medium ;  $1,117.50  ; $3.00 ; $20.00 ; $22,350.00 ; $1,341.00 ;  $21,009.00  ;  $11,175.00  ;  $9,834.00  ;01/01/2018;1; January ;2018
Midmarket;Banten; Training ; Medium ;  $2,844.00  ; $3.00 ; $15.00 ; $42,660.00 ; $2,559.60 ;  $40,100.40  ;  $28,440.00  ;  $11,660.40  ;06/01/2018;6; June ;2018
Channel Partners;Yogyakarta; Training ; Medium ;  $562.00  ; $3.00 ; $12.00 ; $6,744.00 ; $404.64 ;  $6,339.36  ;  $1,686.00  ;  $4,653.36  ;09/01/2018;9; September ;2018
Channel Partners;Banten; Training ; Medium ;  $2,299.00  ; $3.00 ; $12.00 ; $27,588.00 ; $1,655.28 ;  $25,932.72  ;  $6,897.00  ;  $19,035.72  ;10/01/2013;10; October ;2013
Midmarket;East Java; Training ; Medium ;  $2,030.00  ; $3.00 ; $15.00 ; $30,450.00 ; $1,827.00 ;  $28,623.00  ;  $20,300.00  ;  $8,323.00  ;11/01/2018;11; November ;2018
Government;East Java; Training ; Medium ;  $263.00  ; $3.00 ; $7.00 ; $1,841.00 ; $110.46 ;  $1,730.54  ;  $1,315.00  ;  $415.54  ;11/01/2013;11; November ;2013
Government;Yogyakarta; Education ; Medium ;  $980.00  ; $5.00 ; $350.00 ; $343,000.00 ; $20,580.00 ;  $322,420.00  ;  $254,800.00  ;  $67,620.00  ;04/01/2018;4; April ;2018
Government;West Java; Education ; Medium ;  $1,460.00  ; $5.00 ; $350.00 ; $511,000.00 ; $30,660.00 ;  $480,340.00  ;  $379,600.00  ;  $100,740.00  ;05/01/2018;5; May ;2018
Government;Jakarta; Education ; Medium ;  $1,403.00  ; $5.00 ; $7.00 ; $9,821.00 ; $589.26 ;  $9,231.74  ;  $7,015.00  ;  $2,216.74  ;10/01/2013;10; October ;2013
Channel Partners;East Java; Education ; Medium ;  $2,723.00  ; $5.00 ; $12.00 ; $32,676.00 ; $1,960.56 ;  $30,715.44  ;  $8,169.00  ;  $22,546.44  ;11/01/2018;11; November ;2018
Government;Jakarta; Loan ; Medium ;  $1,496.00  ; $10.00 ; $350.00 ; $523,600.00 ; $31,416.00 ;  $492,184.00  ;  $388,960.00  ;  $103,224.00  ;06/01/2018;6; June ;2018
Channel Partners;Banten; Loan ; Medium ;  $2,299.00  ; $10.00 ; $12.00 ; $27,588.00 ; $1,655.28 ;  $25,932.72  ;  $6,897.00  ;  $19,035.72  ;10/01/2013;10; October ;2013
Government;East Java; Loan ; Medium ;  $727.00  ; $10.00 ; $350.00 ; $254,450.00 ; $15,267.00 ;  $239,183.00  ;  $189,020.00  ;  $50,163.00  ;10/01/2013;10; October ;2013
Midmarket;West Java; Fashion ; Medium ;  $1,530.00  ; $120.00 ; $15.00 ; $22,950.00 ; $1,377.00 ;  $21,573.00  ;  $15,300.00  ;  $6,273.00  ;05/01/2018;5; May ;2018
Government;Jakarta; Fashion ; Medium ;  $1,496.00  ; $120.00 ; $350.00 ; $523,600.00 ; $31,416.00 ;  $492,184.00  ;  $388,960.00  ;  $103,224.00  ;06/01/2018;6; June ;2018
Government;Yogyakarta; Fashion ; Medium ;  $1,498.00  ; $120.00 ; $7.00 ; $10,486.00 ; $629.16 ;  $9,856.84  ;  $7,490.00  ;  $2,366.84  ;06/01/2018;6; June ;2018
Small Business;Jakarta; Fashion ; Medium ;  $1,221.00  ; $120.00 ; $300.00 ; $366,300.00 ; $21,978.00 ;  $344,322.00  ;  $305,250.00  ;  $39,072.00  ;10/01/2013;10; October ;2013
Government;Jakarta; Fashion ; Medium ;  $2,076.00  ; $120.00 ; $350.00 ; $726,600.00 ; $43,596.00 ;  $683,004.00  ;  $539,760.00  ;  $143,244.00  ;10/01/2013;10; October ;2013
Midmarket;Banten; Cloud Computing ; Medium ;  $2,844.00  ; $250.00 ; $15.00 ; $42,660.00 ; $2,559.60 ;  $40,100.40  ;  $28,440.00  ;  $11,660.40  ;06/01/2022;6; June ;2022
Government;Yogyakarta; Cloud Computing ; Medium ;  $1,498.00  ; $250.00 ; $7.00 ; $10,486.00 ; $629.16 ;  $9,856.84  ;  $7,490.00  ;  $2,366.84  ;06/01/2022;6; June ;2022
Small Business;Jakarta; Cloud Computing ; Medium ;  $1,221.00  ; $250.00 ; $300.00 ; $366,300.00 ; $21,978.00 ;  $344,322.00  ;  $305,250.00  ;  $39,072.00  ;10/01/2013;10; October ;2013
Government;Yogyakarta; Cloud Computing ; Medium ;  $1,123.00  ; $250.00 ; $20.00 ; $22,460.00 ; $1,347.60 ;  $21,112.40  ;  $11,230.00  ;  $9,882.40  ;11/01/2013;11; November ;2013
Small Business;Banten; Cloud Computing ; Medium ;  $2,436.00  ; $250.00 ; $300.00 ; $730,800.00 ; $43,848.00 ;  $686,952.00  ;  $609,000.00  ;  $77,952.00  ;12/01/2013;12; December ;2013
Government;Yogyakarta; Project Management  ; Medium ;  $1,679.00  ; $260.00 ; $350.00 ; $587,650.00 ; $35,259.00 ;  $552,391.00  ;  $436,540.00  ;  $115,851.00  ;09/01/2022;9; September ;2022
Government;East Java; Project Management  ; Medium ;  $727.00  ; $260.00 ; $350.00 ; $254,450.00 ; $15,267.00 ;  $239,183.00  ;  $189,020.00  ;  $50,163.00  ;10/01/2013;10; October ;2013
Government;Jakarta; Project Management  ; Medium ;  $1,403.00  ; $260.00 ; $7.00 ; $9,821.00 ; $589.26 ;  $9,231.74  ;  $7,015.00  ;  $2,216.74  ;10/01/2013;10; October ;2013
Government;Jakarta; Project Management  ; Medium ;  $2,076.00  ; $260.00 ; $350.00 ; $726,600.00 ; $43,596.00 ;  $683,004.00  ;  $539,760.00  ;  $143,244.00  ;10/01/2013;10; October ;2013
Government;Jakarta; Education ; Medium ;  $1,757.00  ; $5.00 ; $20.00 ; $35,140.00 ; $2,108.40 ;  $33,031.60  ;  $17,570.00  ;  $15,461.60  ;10/01/2013;10; October ;2013
Midmarket;East Java; Loan ; Medium ;  $2,198.00  ; $10.00 ; $15.00 ; $32,970.00 ; $1,978.20 ;  $30,991.80  ;  $21,980.00  ;  $9,011.80  ;08/01/2022;8; August ;2022
Midmarket;West Java; Loan ; Medium ;  $1,743.00  ; $10.00 ; $15.00 ; $26,145.00 ; $1,568.70 ;  $24,576.30  ;  $17,430.00  ;  $7,146.30  ;08/01/2022;8; August ;2022
Midmarket;East Java; Loan ; Medium ;  $1,153.00  ; $10.00 ; $15.00 ; $17,295.00 ; $1,037.70 ;  $16,257.30  ;  $11,530.00  ;  $4,727.30  ;10/01/2022;10; October ;2022
Government;Jakarta; Loan ; Medium ;  $1,757.00  ; $10.00 ; $20.00 ; $35,140.00 ; $2,108.40 ;  $33,031.60  ;  $17,570.00  ;  $15,461.60  ;10/01/2013;10; October ;2013
Government;West Java; Fashion ; Medium ;  $1,001.00  ; $120.00 ; $20.00 ; $20,020.00 ; $1,201.20 ;  $18,818.80  ;  $10,010.00  ;  $8,808.80  ;08/01/2022;8; August ;2022
Government;Yogyakarta; Fashion ; Medium ;  $1,333.00  ; $120.00 ; $7.00 ; $9,331.00 ; $559.86 ;  $8,771.14  ;  $6,665.00  ;  $2,106.14  ;11/01/2022;11; November ;2022
Midmarket;East Java; Cloud Computing ; Medium ;  $1,153.00  ; $250.00 ; $15.00 ; $17,295.00 ; $1,037.70 ;  $16,257.30  ;  $11,530.00  ;  $4,727.30  ;10/01/2022;10; October ;2022
Channel Partners;Yogyakarta; Training ; Medium ;  $727.00  ; $3.00 ; $12.00 ; $8,724.00 ; $610.68 ;  $8,113.32  ;  $2,181.00  ;  $5,932.32  ;02/01/2022;2; February ;2022
Channel Partners;Banten; Training ; Medium ;  $1,884.00  ; $3.00 ; $12.00 ; $22,608.00 ; $1,582.56 ;  $21,025.44  ;  $5,652.00  ;  $15,373.44  ;08/01/2022;8; August ;2022
Government;Yogyakarta; Training ; Medium ;  $1,834.00  ; $3.00 ; $20.00 ; $36,680.00 ; $2,567.60 ;  $34,112.40  ;  $18,340.00  ;  $15,772.40  ;09/01/2013;9; September ;2013
Channel Partners;Yogyakarta; Education ; Medium ;  $2,340.00  ; $5.00 ; $12.00 ; $28,080.00 ; $1,965.60 ;  $26,114.40  ;  $7,020.00  ;  $19,094.40  ;01/01/2022;1; January ;2022
Channel Partners;Jakarta; Education ; Medium ;  $2,342.00  ; $5.00 ; $12.00 ; $28,104.00 ; $1,967.28 ;  $26,136.72  ;  $7,026.00  ;  $19,110.72  ;11/01/2022;11; November ;2022
Government;Jakarta; Loan ; Medium ;  $1,031.00  ; $10.00 ; $7.00 ; $7,217.00 ; $505.19 ;  $6,711.81  ;  $5,155.00  ;  $1,556.81  ;09/01/2013;9; September ;2013
